"country","HDI","GII","matMort_log","adolBirthRate","reprParl","eduRatio","labRatio","eduRatioT","eduIneq"
"Kyrgyzstan",0.655,0.353,1.8750612633917,29.3,23.3,0.976239669421488,0.70440251572327,4,0.023760330578512
"Iraq",0.654,0.539,1.82607480270083,68.7,26.5,0.553784860557769,0.213467048710602,1,0.446215139442231
"Guyana",0.636,0.515,2.39794000867204,88.5,31.3,1.26150627615063,0.529192546583851,5,0.26150627615063
"Nicaragua",0.631,0.449,2,100.8,39.1,1.02872062663185,0.590286425902864,5,0.02872062663185
"Morocco",0.628,0.525,2.07918124604762,35.8,11,0.685430463576159,0.349604221635884,2,0.314569536423841
"Namibia",0.628,0.401,2.11394335230684,54.9,37.7,0.968023255813953,0.858712715855573,4,0.031976744186047
"Guatemala",0.627,0.533,2.14612803567824,97.2,13.3,0.943965517241379,0.558956916099773,3,0.056034482758621
"Tajikistan",0.624,0.357,1.64345267648619,42.8,15.2,1.04276315789474,0.763942931258106,5,0.0427631578947401
"India",0.609,0.563,2.27875360095283,32.8,12.2,0.477031802120141,0.337922403003755,1,0.522968197879859
"Honduras",0.606,0.48,2.07918124604762,84,25.8,1.08527131782946,0.516284680337756,5,0.08527131782946
"Bhutan",0.605,0.457,2.07918124604762,40.9,8.3,0.985507246376812,0.863989637305699,4,0.014492753623188
"Syrian Arab Republic",0.594,0.533,1.69019608002851,41.6,12.4,0.728395061728395,0.185694635488308,2,0.271604938271605
"Congo",0.591,0.593,2.61278385671974,126.7,11.5,0.84468085106383,0.938356164383562,2,0.15531914893617
"Zambia",0.586,0.587,2.44715803134222,125.4,12.7,0.586363636363636,0.853971962616822,1,0.413636363636364
"Ghana",0.579,0.554,2.57978359661681,58.4,10.9,0.698608964451314,0.942577030812325,2,0.301391035548686
"Bangladesh",0.57,0.503,2.23044892137827,80.6,20,0.825665859564165,0.682520808561237,2,0.174334140435835
"Cambodia",0.555,0.477,2.23044892137827,44.3,19,0.432314410480349,0.910982658959538,1,0.567685589519651
"Kenya",0.548,0.552,2.60205999132796,93.6,20.8,0.805732484076433,0.859116022099447,2,0.194267515923567
"Nepal",0.548,0.489,2.27875360095283,73.7,29.5,0.463350785340314,0.917336394948335,1,0.536649214659686
"Pakistan",0.538,0.536,2.23044892137827,27.3,19.7,0.418655097613883,0.296743063932449,1,0.581344902386117
"Swaziland",0.531,0.557,2.49136169383427,72,14.7,0.842307692307692,0.613128491620112,2,0.157692307692308
"Tanzania (United Republic of)",0.521,0.547,2.61278385671974,122.7,36,0.589473684210526,0.976718403547672,1,0.410526315789474
"Cameroon",0.512,0.587,2.77085201164214,115.8,27.1,0.610315186246418,0.830729166666667,1,0.389684813753582
"Zimbabwe",0.509,0.504,2.67209785793572,60.3,35.1,0.785483870967742,0.927536231884058,2,0.214516129032258
"Mauritania",0.506,0.61,2.50514997831991,73.3,22.2,0.397129186602871,0.36283185840708,1,0.602870813397129
"Papua New Guinea",0.505,0.611,2.34242268082221,62.1,2.7,0.524137931034483,0.952702702702703,1,0.475862068965517
"Yemen",0.498,0.744,2.43136376415899,47,0.7,0.322097378277154,0.35180055401662,1,0.677902621722846
"Lesotho",0.497,0.541,2.69019608002851,89.4,26.8,1.15263157894737,0.802721088435374,5,0.15263157894737
"Togo",0.484,0.588,2.65321251377534,91.5,17.6,0.399503722084367,0.991389913899139,1,0.600496277915633
"Haiti",0.483,0.603,2.57978359661681,42,3.5,0.636363636363636,0.857746478873239,1,0.363636363636364
"Rwanda",0.483,0.4,2.50514997831991,33.6,57.5,0.909090909090909,1.01289566236811,3,0.0909090909090911
"Uganda",0.483,0.538,2.55630250076729,126.6,35,0.683582089552239,0.957070707070707,2,0.316417910447761
"Benin",0.48,0.614,2.53147891704225,90.2,8.4,0.418518518518519,0.863346104725415,1,0.581481481481481
"Sudan",0.479,0.591,2.55630250076729,84,23.8,0.664835164835165,0.411842105263158,2,0.335164835164835
"Senegal",0.466,0.528,2.50514997831991,94.4,42.7,0.467532467532468,0.75,1,0.532467532467532
"Afghanistan",0.465,0.693,2.60205999132796,86.8,27.6,0.197986577181208,0.19874213836478,1,0.802013422818792
"Côte d'Ivoire",0.462,0.679,2.85733249643127,130.3,9.2,0.465116279069767,0.643734643734644,1,0.534883720930233
"Malawi",0.445,0.611,2.70757017609794,144.8,16.7,0.513888888888889,1.03803680981595,1,0.486111111111111
"Ethiopia",0.442,0.558,2.6232492903979,78.4,25.5,0.428571428571429,0.875699888017917,1,0.571428571428571
"Gambia",0.441,0.622,2.63346845557959,115.8,9.4,0.552380952380952,0.870928829915561,1,0.447619047619048
"Congo (Democratic Republic of the)",0.433,0.673,2.86332286012046,135.3,8.2,0.395061728395062,0.965846994535519,1,0.604938271604938
"Liberia",0.43,0.651,2.80617997398389,117.4,10.7,0.391857506361323,0.898148148148148,1,0.608142493638677
"Mali",0.419,0.677,2.74036268949424,175.6,9.5,0.509933774834437,0.624078624078624,1,0.490066225165563
"Mozambique",0.416,0.591,2.68124123737559,137.8,39.6,0.225806451612903,1.03260869565217,1,0.774193548387097
"Sierra Leone",0.413,0.65,3.04139268515822,100.7,12.4,0.460829493087558,0.952173913043478,1,0.539170506912442
"Burkina Faso",0.402,0.631,2.60205999132796,115.4,13.3,0.28125,0.856666666666667,1,0.71875
"Burundi",0.4,0.492,2.86923171973098,30.3,34.9,0.63855421686747,1.01585365853659,1,0.36144578313253
"Chad",0.392,0.706,2.99122607569249,152,14.9,0.171717171717172,0.808080808080808,1,0.828282828282828
"Central African Republic",0.35,0.655,2.94448267215017,98.3,12.5,0.378277153558052,0.853113983548766,1,0.621722846441948
"Niger",0.348,0.713,2.79934054945358,204.8,13.3,0.307692307692308,0.445930880713489,1,0.692307692307692
