"country","HDI","lifeExp","expEdu","meanEdu","GNIC_log","GNICr_HDIr","GII","matMort_log","adolBirthRate_log","reprParl","edu2F","edu2M","labF","labM","eduRatio","labRatio"
"Bahamas",0.79,75.4,12.6,10.9,4.32911300268182,-3,0.298,1.56820172406699,1.45484486000851,16.7,91.2,87.6,69.3,79.3,1.04109589041096,0.873896595208071
"Kazakhstan",0.788,69.4,15,11.4,4.31946001604689,-1,0.267,1.41497334797082,1.47567118832443,20.1,95.3,98.8,67.7,77.9,0.964574898785425,0.869062901155327
"Barbados",0.785,75.6,15.4,10.5,4.09649289005436,27,0.357,1.7160033436348,1.68484536164441,19.6,89.5,87.7,65.9,76.6,1.02052451539339,0.860313315926893
"Bulgaria",0.782,74.2,14.4,10.6,4.19301322651595,13,0.212,0.698970004336019,1.55509444857832,20.4,93,95.7,47.9,59,0.971786833855799,0.811864406779661
"Panama",0.78,77.6,13.3,9.3,4.25988044734366,1,0.454,1.92941892571429,1.89486965674525,19.3,54,49.9,49,81.8,1.08216432865731,0.599022004889976
"Malaysia",0.779,74.7,12.7,10,4.35721041900612,-14,0.209,1.46239799789896,0.755874855672491,14.2,65.1,71.3,44.4,75.5,0.91304347826087,0.588079470198675
"Mauritius",0.777,74.4,15.6,8.5,4.24229290498293,0,0.419,1.86332286012046,1.48995847942483,11.6,49.4,58,43.6,74.2,0.851724137931034,0.587601078167116
"Trinidad and Tobago",0.772,70.4,12.3,10.9,4.41647407910022,-25,0.371,1.92427928606188,1.54157924394658,24.7,59.7,60.9,53,75.5,0.980295566502463,0.701986754966887
"Serbia",0.771,74.9,14.4,10.5,4.08600370561838,20,0.176,1.20411998265592,1.22788670461367,34,58.4,73.6,44.5,60.9,0.793478260869565,0.730706075533662
"Cuba",0.769,79.4,13.8,11.5,3.86338234844079,47,0.356,1.90308998699194,1.63447727016073,48.9,74.3,78.8,43.4,70,0.942893401015228,0.62
"Lebanon",0.769,79.3,13.8,7.9,4.21772076753082,-1,0.385,1.20411998265592,1.07918124604762,3.1,53,55.4,23.3,70.9,0.956678700361011,0.328631875881523
