"country","HDI","GII","matMort","adolBirthRate","reprParl","eduRatio","labRatio"
"Namibia",0.628,0.401,130,54.9,37.7,0.968023255813953,0.858712715855573
"Guatemala",0.627,0.533,140,97.2,13.3,0.943965517241379,0.558956916099773
"Tajikistan",0.624,0.357,44,42.8,15.2,1.04276315789474,0.763942931258106
"India",0.609,0.563,190,32.8,12.2,0.477031802120141,0.337922403003755
"Honduras",0.606,0.48,120,84,25.8,1.08527131782946,0.516284680337756
"Bhutan",0.605,0.457,120,40.9,8.3,0.985507246376812,0.863989637305699
"Syrian Arab Republic",0.594,0.533,49,41.6,12.4,0.728395061728395,0.185694635488308
"Congo",0.591,0.593,410,126.7,11.5,0.84468085106383,0.938356164383562
"Zambia",0.586,0.587,280,125.4,12.7,0.586363636363636,0.853971962616822
"Ghana",0.579,0.554,380,58.4,10.9,0.698608964451314,0.942577030812325
"Bangladesh",0.57,0.503,170,80.6,20,0.825665859564165,0.682520808561237
"Cambodia",0.555,0.477,170,44.3,19,0.432314410480349,0.910982658959538
"Kenya",0.548,0.552,400,93.6,20.8,0.805732484076433,0.859116022099447
"Nepal",0.548,0.489,190,73.7,29.5,0.463350785340314,0.917336394948335
"Pakistan",0.538,0.536,170,27.3,19.7,0.418655097613883,0.296743063932449
"Myanmar",0.536,0.413,200,12.1,4.7,1.49673202614379,0.913730255164034
"Swaziland",0.531,0.557,310,72,14.7,0.842307692307692,0.613128491620112
"Tanzania (United Republic of)",0.521,0.547,410,122.7,36,0.589473684210526,0.976718403547672
"Cameroon",0.512,0.587,590,115.8,27.1,0.610315186246418,0.830729166666667
"Zimbabwe",0.509,0.504,470,60.3,35.1,0.785483870967742,0.927536231884058
"Mauritania",0.506,0.61,320,73.3,22.2,0.397129186602871,0.36283185840708
"Papua New Guinea",0.505,0.611,220,62.1,2.7,0.524137931034483,0.952702702702703
"Yemen",0.498,0.744,270,47,0.7,0.322097378277154,0.35180055401662
"Lesotho",0.497,0.541,490,89.4,26.8,1.15263157894737,0.802721088435374
"Togo",0.484,0.588,450,91.5,17.6,0.399503722084367,0.991389913899139
"Haiti",0.483,0.603,380,42,3.5,0.636363636363636,0.857746478873239
"Rwanda",0.483,0.4,320,33.6,57.5,0.909090909090909,1.01289566236811
"Uganda",0.483,0.538,360,126.6,35,0.683582089552239,0.957070707070707
"Benin",0.48,0.614,340,90.2,8.4,0.418518518518519,0.863346104725415
"Sudan",0.479,0.591,360,84,23.8,0.664835164835165,0.411842105263158
"Senegal",0.466,0.528,320,94.4,42.7,0.467532467532468,0.75
"Afghanistan",0.465,0.693,400,86.8,27.6,0.197986577181208,0.19874213836478
"Côte d'Ivoire",0.462,0.679,720,130.3,9.2,0.465116279069767,0.643734643734644
"Malawi",0.445,0.611,510,144.8,16.7,0.513888888888889,1.03803680981595
"Ethiopia",0.442,0.558,420,78.4,25.5,0.428571428571429,0.875699888017917
"Gambia",0.441,0.622,430,115.8,9.4,0.552380952380952,0.870928829915561
"Congo (Democratic Republic of the)",0.433,0.673,730,135.3,8.2,0.395061728395062,0.965846994535519
"Liberia",0.43,0.651,640,117.4,10.7,0.391857506361323,0.898148148148148
"Mali",0.419,0.677,550,175.6,9.5,0.509933774834437,0.624078624078624
"Mozambique",0.416,0.591,480,137.8,39.6,0.225806451612903,1.03260869565217
"Sierra Leone",0.413,0.65,1100,100.7,12.4,0.460829493087558,0.952173913043478
"Burkina Faso",0.402,0.631,400,115.4,13.3,0.28125,0.856666666666667
"Burundi",0.4,0.492,740,30.3,34.9,0.63855421686747,1.01585365853659
"Chad",0.392,0.706,980,152,14.9,0.171717171717172,0.808080808080808
"Central African Republic",0.35,0.655,880,98.3,12.5,0.378277153558052,0.853113983548766
"Niger",0.348,0.713,630,204.8,13.3,0.307692307692308,0.445930880713489
